city,Meal at an Inexpensive Restaurant,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",Combo Meal at McDonald's (or Equivalent Fast-Food Meal),Domestic Draft Beer (0.5 Liter),Imported Beer (0.33 Liter Bottle),Cappuccino (Regular Size),"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",Bottled Water (0.33 Liter),"Milk (Regular, 1 Liter)",Fresh White Bread (500 g Loaf),White Rice (1 kg),"Eggs (12, Large Size)",Local Cheese (1 kg),Chicken Fillets (1 kg),Beef Round or Equivalent Back Leg Red Meat (1 kg),Apples (1 kg),Bananas (1 kg),Oranges (1 kg),Tomatoes (1 kg),Potatoes (1 kg),Onions (1 kg),Lettuce (1 Head),Bottled Water (1.5 Liter),Bottle of Wine (Mid-Range),Domestic Beer (0.5 Liter Bottle),"Cigarettes (Pack of 20, Marlboro)",One-Way Ticket (Local Transport),Monthly Public Transport Pass (Regular Price),Taxi Start (Standard Tariff),Taxi 1 km (Standard Tariff),Taxi 1 Hour Waiting (Standard Tariff),Gasoline (1 Liter),Volkswagen Golf 1.5 (or Equivalent New Compact Car),Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),"Basic Utilities for 85 m2Apartment (Electricity, Heating, Cooling, Water, Garbage)","Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)","Broadband Internet (Unlimited Data, 60 Mbps or Higher)",Monthly Fitness Club Membership,"Tennis Court Rental (1 Hour, Weekend)",Cinema Ticket (International Release),"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child","International Primary School, Annual Tuition per Child",Jeans (Levi's 501 or Similar),Summer Dress in a Chain Store (e.g. Zara or H&M),Nike Running Shoes (Mid-Range),Men's Leather Business Shoes,1 Bedroom Apartment in City Centre,1 Bedroom Apartment Outside of City Centre,3 Bedroom Apartment in City Centre,3 Bedroom Apartment Outside of City Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Annual Mortgage Interest Rate (20-Year Fixed, in %)",Domestic Draft Non-Alcoholic Beer (0.5 Liter),Imported Non-Alcoholic Beer (0.33 Liter Bottle),Bottle of Non-Alcoholic Wine (Mid-Range),Domestic Non-Alcoholic Beer (0.5 Liter Bottle),Buffalo Round or Equivalent Back Leg Red Meat (1 kg)
Athens,15.00 €,60.00 €,9.00 €,5.00 €,2.37 €,3.52 €,2.25 €,0.53 €,1.53 €,1.29 €,2.93 €,3.91 €,12.84 €,9.56 €,15.64 €,2.00 €,1.81 €,1.25 €,1.94 €,1.09 €,1.09 €,0.95 €,0.81 €,9.50 €,1.72 €,5.00 €,1.20 €,27.00 €,4.00 €,0.90 €,15.00 €,1.79 €,"24,980.00 €","24,913.75 €",174.45 €,22.61 €,29.50 €,47.73 €,23.27 €,9.00 €,566.94 €,"12,012.94 €",87.90 €,37.24 €,92.31 €,109.55 €,628.53 €,524.41 €,"1,136.45 €",945.29 €,"3,548.89 €","3,038.75 €","1,155.14 €",4.42,,,,,
Dublin,20.00 €,90.00 €,12.00 €,7.00 €,3.17 €,4.24 €,2.65 €,2.06 €,1.50 €,2.17 €,2.08 €,3.95 €,8.68 €,9.56 €,13.20 €,2.68 €,1.82 €,2.48 €,4.80 €,1.52 €,1.35 €,1.15 €,1.83 €,12.00 €,3.53 €,19.00 €,2.00 €,96.00 €,4.50 €,1.35 €,30.00 €,1.81 €,"34,830.00 €","34,021.84 €",209.46 €,17.85 €,47.19 €,50.96 €,18.74 €,13.00 €,"1,105.29 €","10,438.55 €",98.24 €,44.07 €,99.71 €,91.12 €,"2,162.07 €","1,830.00 €","3,776.19 €","2,969.57 €","6,772.63 €","5,098.37 €","3,601.23 €",3.8,,,,,
Brussels,20.00 €,80.00 €,13.00 €,5.00 €,2.40 €,3.86 €,2.88 €,2.70 €,1.19 €,2.48 €,2.37 €,4.15 €,13.82 €,11.93 €,18.53 €,2.57 €,2.18 €,2.29 €,3.38 €,2.31 €,2.09 €,1.41 €,0.99 €,8.00 €,2.12 €,12.00 €,2.50 €,55.00 €,2.60 €,1.80 €,36.00 €,1.64 €,"31,670.00 €","29,970.00 €",219.39 €,18.92 €,48.18 €,33.07 €,24.10 €,13.90 €,"1,327.46 €","31,903.77 €",82.70 €,39.59 €,96.88 €,128.09 €,"1,152.37 €",955.36 €,"2,102.38 €","1,663.29 €","4,353.37 €","3,289.31 €","3,032.53 €",3.49,,,,,
Zurich,28.00 Fr.,120.00 Fr.,15.00 Fr.,8.00 Fr.,2.63 Fr.,5.70 Fr.,4.94 Fr.,4.22 Fr.,1.78 Fr.,3.40 Fr.,3.13 Fr.,6.64 Fr.,22.84 Fr.,21.21 Fr.,47.68 Fr.,3.43 Fr.,2.56 Fr.,3.15 Fr.,3.89 Fr.,2.09 Fr.,2.02 Fr.,2.10 Fr.,1.12 Fr.,12.00 Fr.,2.36 Fr.,9.20 Fr.,4.60 Fr.,88.00 Fr.,6.75 Fr.,3.80 Fr.,73.80 Fr.,1.79 Fr.,"32,800.00 Fr.","32,850.00 Fr.",210.06 Fr.,27.81 Fr.,45.62 Fr.,71.17 Fr.,47.00 Fr.,20.00 Fr.,"2,849.74 Fr.","32,540.00 Fr.",111.38 Fr.,50.55 Fr.,131.80 Fr.,181.70 Fr.,"2,351.00 Fr.","1,761.32 Fr.","4,981.25 Fr.","3,166.67 Fr.","19,652.94 Fr.","12,706.25 Fr.","6,724.39 Fr.",2.08,,,,,
Geneva,30.00 Fr.,120.00 Fr.,15.00 Fr.,8.00 Fr.,2.86 Fr.,5.00 Fr.,4.06 Fr.,3.57 Fr.,1.83 Fr.,3.02 Fr.,3.51 Fr.,6.18 Fr.,21.11 Fr.,25.88 Fr.,36.98 Fr.,2.81 Fr.,1.81 Fr.,2.37 Fr.,5.29 Fr.,1.88 Fr.,1.84 Fr.,1.93 Fr.,1.06 Fr.,10.00 Fr.,2.54 Fr.,9.00 Fr.,3.00 Fr.,70.00 Fr.,6.21 Fr.,3.20 Fr.,52.50 Fr.,1.85 Fr.,"32,800.00 Fr.","32,500.00 Fr.",220.79 Fr.,39.00 Fr.,49.05 Fr.,65.52 Fr.,38.73 Fr.,20.00 Fr.,"2,187.44 Fr.","28,342.00 Fr.",113.21 Fr.,66.59 Fr.,131.77 Fr.,170.54 Fr.,"2,263.33 Fr.","1,739.41 Fr.","3,953.00 Fr.","2,966.25 Fr.","18,047.02 Fr.","13,735.73 Fr.","6,087.74 Fr.",2.22,,,,,
Copenhagen,150.00 kr,800.00 kr,90.00 kr,60.00 kr,16.47 kr,45.76 kr,31.28 kr,22.54 kr,14.60 kr,31.02 kr,20.76 kr,34.87 kr,109.55 kr,85.25 kr,116.38 kr,22.65 kr,22.26 kr,25.59 kr,37.82 kr,17.14 kr,14.13 kr,15.00 kr,10.81 kr,75.00 kr,12.58 kr,64.50 kr,24.00 kr,750.00 kr,39.00 kr,12.00 kr,502.50 kr,14.34 kr,"334,995.00 kr","353,325.56 kr","1,124.23 kr",93.53 kr,273.25 kr,401.56 kr,220.83 kr,130.00 kr,"5,260.53 kr","82,906.50 kr",781.87 kr,345.83 kr,888.00 kr,"1,247.00 kr","12,480.45 kr","8,847.56 kr","22,658.82 kr","15,583.33 kr","68,324.50 kr","46,315.68 kr","31,992.57 kr",3.78,,,,,
Stockholm,169.00 kr,"1,050.00 kr",110.00 kr,75.00 kr,23.01 kr,50.20 kr,35.19 kr,27.67 kr,17.07 kr,37.87 kr,37.73 kr,48.18 kr,132.60 kr,136.32 kr,195.12 kr,34.37 kr,28.78 kr,31.70 kr,45.53 kr,18.60 kr,18.65 kr,25.64 kr,17.00 kr,130.00 kr,21.66 kr,78.00 kr,43.00 kr,"1,060.00 kr",59.00 kr,15.00 kr,565.00 kr,17.17 kr,"329,900.00 kr","338,144.44 kr","2,699.05 kr",229.26 kr,405.14 kr,457.59 kr,354.38 kr,180.00 kr,"1,597.00 kr","164,000.00 kr","1,020.59 kr",478.93 kr,"1,219.19 kr","1,945.01 kr","16,656.24 kr","10,351.57 kr","26,259.09 kr","18,193.33 kr","111,501.90 kr","61,553.85 kr","35,877.90 kr",3.28,,,,,
Oslo,250.00 kr,"1,200.00 kr",150.00 kr,119.00 kr,41.05 kr,52.44 kr,39.83 kr,33.10 kr,24.05 kr,39.00 kr,36.67 kr,51.42 kr,132.10 kr,153.68 kr,327.68 kr,34.90 kr,25.87 kr,35.12 kr,53.49 kr,26.05 kr,28.46 kr,28.29 kr,24.26 kr,177.00 kr,32.59 kr,175.00 kr,44.00 kr,790.00 kr,114.00 kr,17.50 kr,666.00 kr,21.70 kr,"459,900.00 kr","421,994.40 kr","3,349.36 kr",308.74 kr,530.86 kr,552.72 kr,266.67 kr,189.00 kr,"2,510.00 kr","148,455.56 kr",993.81 kr,612.50 kr,"1,250.00 kr","1,573.08 kr","18,431.25 kr","14,656.52 kr","26,445.41 kr","21,875.09 kr","105,909.09 kr","72,533.33 kr","41,231.06 kr",5.28,,,,,
Helsinki,15.00 €,90.00 €,13.00 €,8.00 €,3.73 €,4.71 €,2.98 €,2.45 €,1.24 €,2.43 €,2.38 €,3.40 €,9.11 €,12.54 €,19.04 €,2.58 €,1.92 €,2.31 €,3.73 €,1.09 €,1.55 €,1.87 €,1.59 €,14.00 €,3.14 €,11.90 €,3.20 €,72.10 €,10.00 €,1.14 €,68.40 €,1.75 €,"32,706.00 €","33,324.29 €",112.12 €,25.36 €,22.56 €,41.62 €,32.31 €,17.00 €,441.11 €,"12,960.14 €",89.71 €,36.77 €,96.21 €,131.84 €,"1,077.64 €",782.00 €,"1,907.60 €","1,392.23 €","8,300.29 €","4,222.76 €","2,718.26 €",3.91,,,,,
Porto,11.25 €,50.00 €,8.00 €,3.00 €,2.01 €,2.14 €,2.12 €,1.22 €,0.97 €,1.37 €,1.38 €,3.07 €,11.20 €,6.29 €,13.76 €,1.93 €,1.26 €,1.54 €,2.21 €,1.46 €,1.63 €,1.52 €,0.67 €,5.00 €,1.11 €,5.75 €,1.55 €,40.00 €,3.50 €,0.75 €,15.00 €,1.73 €,"30,043.00 €","31,700.00 €",120.81 €,13.50 €,33.06 €,41.08 €,13.88 €,8.00 €,502.15 €,"9,365.00 €",94.95 €,31.32 €,80.68 €,93.00 €,"1,099.38 €",810.00 €,"1,904.71 €","1,410.00 €","4,598.82 €","3,400.84 €","1,313.51 €",3.67,,,,,
Prague,250.00 Kč,"1,200.00 Kč",220.00 Kč,60.00 Kč,42.94 Kč,83.46 Kč,41.77 Kč,31.13 Kč,26.41 Kč,35.03 Kč,55.10 Kč,81.82 Kč,264.23 Kč,186.84 Kč,328.88 Kč,45.02 Kč,40.34 Kč,49.29 Kč,82.60 Kč,26.98 Kč,27.09 Kč,38.53 Kč,18.17 Kč,150.00 Kč,26.25 Kč,167.21 Kč,39.00 Kč,550.00 Kč,60.00 Kč,35.50 Kč,390.00 Kč,36.57 Kč,"677,900.00 Kč","706,087.19 Kč","7,357.16 Kč",653.10 Kč,532.44 Kč,"1,324.36 Kč",364.88 Kč,250.00 Kč,"22,120.00 Kč","365,973.93 Kč","1,848.43 Kč","1,087.20 Kč","2,372.02 Kč","2,841.90 Kč","25,334.24 Kč","21,749.15 Kč","51,500.00 Kč","34,857.14 Kč","209,642.76 Kč","154,663.83 Kč","48,936.94 Kč",4.63,,,,,
Budapest,"4,000.00 Ft","22,000.00 Ft","3,200.00 Ft","1,120.00 Ft",657.42 Ft,"1,092.89 Ft",589.72 Ft,540.77 Ft,396.50 Ft,559.87 Ft,813.93 Ft,"1,223.34 Ft","3,630.40 Ft","2,363.38 Ft","4,616.46 Ft",716.71 Ft,688.35 Ft,778.60 Ft,"1,092.35 Ft",349.00 Ft,368.43 Ft,518.38 Ft,200.72 Ft,"1,730.00 Ft",410.16 Ft,"2,500.00 Ft",500.00 Ft,"9,000.00 Ft","1,100.00 Ft",440.00 Ft,"6,600.00 Ft",585.41 Ft,"9,800,000.00 Ft","11,686,842.11 Ft","49,753.25 Ft","8,410.52 Ft","7,484.00 Ft","24,712.93 Ft","5,806.67 Ft","3,100.00 Ft","163,809.52 Ft","5,009,151.52 Ft","34,817.73 Ft","14,532.68 Ft","37,408.64 Ft","41,186.88 Ft","283,137.93 Ft","214,200.00 Ft","521,164.45 Ft","397,826.09 Ft","1,860,000.00 Ft","1,335,833.33 Ft","538,763.36 Ft",6.93,,,,,
Warsaw,42.50 zł,205.00 zł,35.00 zł,19.00 zł,7.50 zł,16.54 zł,9.24 zł,8.57 zł,4.15 zł,5.49 zł,6.88 zł,14.48 zł,38.43 zł,27.18 zł,57.19 zł,5.24 zł,6.74 zł,7.85 zł,11.52 zł,3.70 zł,4.07 zł,5.88 zł,2.67 zł,30.00 zł,4.84 zł,23.49 zł,4.40 zł,110.00 zł,10.00 zł,5.00 zł,50.00 zł,6.14 zł,"119,895.00 zł","120,386.67 zł","1,269.65 zł",35.39 zł,68.77 zł,183.16 zł,102.86 zł,35.00 zł,"2,206.06 zł","57,114.97 zł",396.62 zł,172.44 zł,389.76 zł,450.53 zł,"4,395.45 zł","3,468.58 zł","7,536.84 zł","5,455.00 zł","22,931.31 zł","14,743.75 zł","8,255.70 zł",7.04,,,,,
Bucharest,60.00 lei,290.00 lei,34.50 lei,15.00 lei,7.91 lei,14.62 lei,10.08 lei,8.97 lei,7.32 lei,5.67 lei,7.41 lei,16.73 lei,43.92 lei,32.88 lei,55.52 lei,6.14 lei,7.67 lei,7.35 lei,10.17 lei,3.65 lei,3.64 lei,3.94 lei,4.16 lei,31.00 lei,5.65 lei,30.00 lei,4.50 lei,90.00 lei,3.00 lei,3.00 lei,30.00 lei,7.73 lei,"129,858.29 lei","127,087.10 lei",870.25 lei,32.84 lei,46.21 lei,230.79 lei,118.05 lei,40.00 lei,"3,115.33 lei","65,938.27 lei",397.21 lei,178.52 lei,406.82 lei,464.22 lei,"2,906.28 lei","1,924.65 lei","5,340.06 lei","3,404.17 lei","17,783.43 lei","10,114.67 lei","6,503.32 lei",7.09,,,,,
Sofia,11.00 €,50.00 €,9.61 €,2.81 €,1.54 €,2.65 €,1.91 €,1.40 €,1.69 €,1.23 €,1.96 €,3.37 €,10.60 €,7.49 €,13.00 €,1.74 €,1.75 €,1.60 €,2.69 €,0.92 €,0.81 €,0.92 €,0.67 €,6.39 €,0.96 €,3.58 €,0.82 €,25.54 €,1.53 €,0.86 €,12.27 €,1.31 €,"26,850.86 €","24,689.72 €",138.34 €,16.35 €,12.22 €,39.20 €,21.81 €,9.00 €,598.14 €,"10,271.61 €",74.74 €,35.33 €,93.84 €,99.57 €,669.31 €,517.63 €,"1,225.88 €",852.88 €,"3,742.95 €","2,578.71 €","1,436.60 €",2.95,,,,,
Belgrade,"1,345.00 Дин","6,000.00 Дин","1,200.00 Дин",350.00 Дин,166.41 Дин,295.31 Дин,296.92 Дин,233.59 Дин,144.69 Дин,105.68 Дин,291.41 Дин,273.30 Дин,"1,057.55 Дин",746.85 Дин,"1,503.65 Дин",169.19 Дин,206.25 Дин,205.10 Дин,228.41 Дин,101.85 Дин,80.17 Дин,87.05 Дин,71.84 Дин,800.00 Дин,91.54 Дин,480.00 Дин,0.00 Дин,0.00 Дин,320.00 Дин,105.00 Дин,"1,800.00 Дин",187.81 Дин,"3,199,034.05 Дин","2,634,480.09 Дин","23,523.71 Дин","2,231.90 Дин","3,980.26 Дин","4,300.39 Дин","2,645.00 Дин",821.65 Дин,"45,651.84 Дин","1,013,559.11 Дин","11,967.75 Дин","4,694.32 Дин","11,595.18 Дин","15,043.40 Дин","89,875.42 Дин","61,046.08 Дин","168,848.16 Дин","111,357.01 Дин","521,656.26 Дин","309,280.36 Дин","126,875.54 Дин",4.84,,,,,
Zagreb,12.00 €,60.00 €,8.00 €,3.00 €,2.16 €,2.14 €,2.54 €,2.31 €,1.22 €,1.56 €,2.64 €,3.59 €,11.47 €,10.20 €,11.93 €,1.69 €,1.55 €,1.79 €,2.56 €,1.26 €,1.12 €,1.07 €,1.14 €,7.00 €,1.49 €,5.00 €,0.53 €,49.00 €,2.00 €,1.00 €,8.90 €,1.49 €,"26,455.50 €","23,291.71 €",185.27 €,18.88 €,35.26 €,47.06 €,15.83 €,8.00 €,430.48 €,"9,615.00 €",87.30 €,34.50 €,85.18 €,97.57 €,752.63 €,572.00 €,"1,277.78 €",946.05 €,"4,656.25 €","2,994.55 €","1,644.90 €",3.23,,,,,
Tallinn,15.00 €,80.00 €,10.00 €,6.00 €,2.11 €,3.91 €,1.98 €,2.07 €,1.01 €,1.34 €,2.77 €,2.64 €,10.83 €,8.41 €,21.65 €,2.06 €,1.37 €,2.44 €,2.93 €,0.87 €,0.84 €,1.82 €,0.89 €,9.93 €,1.70 €,6.00 €,2.00 €,30.00 €,4.00 €,1.00 €,17.00 €,1.61 €,"27,230.00 €","29,500.00 €",293.74 €,15.93 €,29.40 €,45.89 €,36.63 €,11.00 €,540.50 €,"9,166.10 €",96.32 €,43.59 €,97.91 €,128.10 €,693.82 €,505.31 €,"1,335.00 €",914.00 €,"4,586.17 €","3,103.38 €","1,867.45 €",3.67,,,,,
Riga,12.00 €,60.00 €,7.00 €,5.00 €,1.95 €,3.08 €,1.64 €,1.17 €,1.02 €,1.39 €,2.29 €,3.16 €,9.32 €,7.31 €,11.38 €,1.66 €,1.75 €,2.26 €,3.18 €,1.00 €,0.93 €,1.50 €,0.80 €,7.00 €,1.68 €,5.00 €,1.50 €,30.00 €,3.00 €,0.75 €,16.95 €,1.56 €,"24,388.00 €","27,036.36 €",310.32 €,19.33 €,18.68 €,45.56 €,28.55 €,9.60 €,538.85 €,"15,503.85 €",64.68 €,40.23 €,73.84 €,116.57 €,522.80 €,345.36 €,979.26 €,660.15 €,"2,725.14 €","1,783.81 €","1,379.98 €",4.77,,,,,
